Accounts Manager Identification Number,Customer Identification Number,Innovative,Relationship Rating,"Visited Tech Center (0=NO, 1=YES)","ALPHA (0=not interested, 1=yes interested, 2=Maybe)","BETA(0=not interested, 1=yes interested, 2=Maybe)","PILOT(0=not interested, 1=yes interested, 2=Maybe)","Have they done pilot with us? (0=NO, 1=YES, 2=Maybe)",Improve occupancy via differentiation / positioning,Increase rate/bed through add-on services,Increase 5-star rating,Staff efficiency / lower cost of delivering care,Insurance costs,Utilities costs,Health & wellness (Clinical & Rehab),Resident monitoring and safety,Rehospitalization / ACO partnerships,Care coordination across settings,Food & Nutrition,Telehealth and remote care delivery,Rural health and wellness,Number of pilots in progress
0,0,4,3,0,0,0,1,0,4,5,0,3,0,0,2,0,1,0,0,0,0,0
0,1,4,5,0,0,1,1,0,5,0,0,4,0,0,2,0,1,3,0,0,0,0
0,2,4,5,1,1,1,1,0,2,0,0,0,0,0,1,0,0,3,4,5,0,0
0,3,3,3,1,0,0,1,0,1,2,0,0,3,0,4,5,0,0,0,0,0,0
0,4,1,4,1,0,0,0,0,1,0,0,2,0,0,4,3,0,0,5,0,0,0
0,5,1,3,0,0,0,0,0,1,3,0,2,0,0,5,4,0,0,0,0,0,0
0,6,1,4,1,0,0,0,0,4,5,0,1,0,0,0,0,0,0,2,0,3,0
0,7,5,1,0,1,1,1,0,1,3,0,0,0,0,4,2,0,0,0,5,0,0
0,8,2,4,0,0,0,0,0,1,3,0,2,0,0,4,5,0,0,0,0,0,0
0,9,2,3,0,0,0,1,0,2,1,0,3,0,0,4,5,0,0,0,0,0,0
0,10,2,4,0,0,0,0,0,2,5,0,1,0,0,0,4,0,0,3,0,0,0
0,11,1,1,0,0,0,0,0,2,4,3,1,0,5,0,0,0,0,0,0,0,0
0,12,1,2,0,0,0,0,0,1,2,4,3,0,5,0,0,0,0,0,0,0,0
0,13,3,3,0,0,0,0,0,1,3,0,0,2,0,4,5,0,0,0,0,0,0
0,14,4,4,0,0,0,1,0,3,4,0,5,0,0,1,0,0,0,0,2,0,0
0,15,3,4,1,0,0,0,0,1,5,0,0,0,0,0,3,0,2,4,0,0,0
1,16,4,4,0,1,1,1,0,0,0,5,0,0,0,1,4,2,3,0,0,0,0
1,17,2,3,0,0,1,1,0,1,0,2,3,0,0,0,0,4,5,0,0,0,0
1,18,2,3,0,0,0,0,0,1,0,2,3,0,0,4,0,5,0,0,0,0,0
1,19,4,4,1,1,1,1,0,0,1,2,0,0,0,4,0,0,5,0,4,3,0
1,20,2,3,0,0,0,0,0,3,0,2,1,0,0,4,0,5,0,0,0,0,0
1,21,4,5,0,1,1,1,0,0,5,4,0,0,0,2,0,1,0,0,3,0,0
1,22,3,5,1,1,1,1,0,1,5,2,3,0,0,4,0,0,0,0,0,0,0
1,23,3,5,0,1,1,1,0,4,0,1,0,0,0,5,0,2,3,0,0,0,0
1,24,3,4,0,1,1,1,0,1,0,2,4,0,0,5,0,3,0,0,0,0,0
2,25,3,4,0,1,1,1,2,1,3,2,1,2,3,1,4,3,5,2,1,2,0
2,26,3,4,0,0,0,1,2,1,3,2,1,2,3,1,0,0,0,2,0,0,0
2,27,3,4,0,1,1,1,2,1,3,2,1,2,3,1,0,0,0,0,0,0,0
2,28,4,4,1,1,1,1,1,1,3,2,1,2,3,0,0,1,0,0,0,0,0
